kodi_projekti,referenca_kerkeses_obp,real_ref_no,chain_status,numri_angazhimit,numri_kontrates,real_winner_nipt,real_contract_value,numri_fatures,fature_statusi,numri_urdherit_shpenzimit,contract_link_is_real_match
PRJ-000001,REQ-000002,REF-00069-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000002,,,never_procured,,,,,,,,
PRJ-000003,,,never_procured,,,,,,,,
PRJ-000004,,,never_procured,,,,,,,,
PRJ-000005,,,never_procured,,,,,,,,
PRJ-000006,REQ-000007,REF-99937-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000007,REQ-000008,REF-99993-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000008,REQ-000009,REF-99989-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000009,REQ-000010,REF-00026-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000010,REQ-000011,REF-99982-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000011,REQ-000012,REF-99933-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000012,REQ-000013,REF-99925-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000013,,,never_procured,,,,,,,,
PRJ-000014,REQ-000015,REF-99952-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000015,REQ-000016,REF-99918-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000016,REQ-000017,REF-00059-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000017,REQ-000018,REF-99974-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000018,REQ-000019,REF-00076-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000019,REQ-000020,REF-99908-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000020,REQ-000021,REF-00075-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000021,REQ-000022,REF-00073-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000022,REQ-000023,REF-99988-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000023,REQ-000024,REF-00022-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000024,REQ-000025,REF-00019-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000025,REQ-000026,REF-00002-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000026,REQ-000027,REF-00017-09-16-2026,procured_no_contract,,,,,,,,
