kodi_institucioni,emertimi,real_nipt,nipt_source
INST-0001,AGJENCIA E INDUSTRISE SE MBROJTJES,,unknown - not seen in KPP
INST-0002,AGJENCIA KOMBETARE E FINANCIMIT TE ARSIMIT TE LARTE,,unknown - not seen in KPP
INST-0003,ALBAFILM,,unknown - not seen in KPP
INST-0004,ALBANIAN STATE DEVELOPMENT & REAL ESTATE,,unknown - not seen in KPP
INST-0005,ALBCONTROL SH.A ( ish A.N.T.A),J61908011H,kpp_appeal.ak_nipt (name-matched)
INST-0006,ALBTrace CO,M51512056Q,kpp_appeal.ak_nipt (name-matched)
INST-0007,Agjencia E Sigurimit të Cilësisë së Kujdesit Shëndetësor dhe Shoqëror,,unknown - not seen in KPP
INST-0008,Agjencia Ekonomike Mbeshtetese,L81819025K,kpp_appeal.ak_nipt (name-matched)
INST-0009,Agjencia Innovation4Albania,,unknown - not seen in KPP
INST-0010,Agjencia Kombetare Berthamore,,unknown - not seen in KPP
INST-0011,Agjencia Kombetare e Arsimit Parauniversitar,L91714454I,kpp_appeal.ak_nipt (name-matched)
INST-0012,Agjencia Kombetare e Barnave dhe Paisjeve Mjekesore (AKBPM),,unknown - not seen in KPP
INST-0013,Agjencia Kombetare e Bregdetit,L41417451U,kpp_appeal.ak_nipt (name-matched)
INST-0014,Agjencia Kombetare e Burimeve Natyrore,,unknown - not seen in KPP
INST-0015,Agjencia Kombetare e Duhan - Cigareve,,unknown - not seen in KPP
INST-0016,Agjencia Kombetare e Ekonomise Mbetjeve,,unknown - not seen in KPP
INST-0017,Agjencia Kombetare e Kerkimit Shkencor dhe Inovacionit,,unknown - not seen in KPP
INST-0018,Agjencia Kombetare e Kontrollit te Cannabis-it,,unknown - not seen in KPP
INST-0019,Agjencia Kombetare e Mbrojtjes Civile,,unknown - not seen in KPP
INST-0020,Agjencia Kombetare e Mjedisit,K51725014S,kpp_appeal.ak_nipt (name-matched)
INST-0021,Agjencia Kombetare e Planifikimit te Territorit,,unknown - not seen in KPP
INST-0022,Agjencia Kombetare e Punesimit dhe Aftesive Tirane,,unknown - not seen in KPP
INST-0023,Agjencia Kombetare e Shoqerise se Informacionit,K72301452S,kpp_appeal.ak_nipt (name-matched)
INST-0024,Agjencia Kombetare e Turizmit,K51726009K,kpp_appeal.ak_nipt (name-matched)
INST-0025,Agjencia Kombetare e Zonave te Mbrojtura,L51505451H,kpp_appeal.ak_nipt (name-matched)
INST-0026,Agjencia Kombetare per Diasporen,,unknown - not seen in KPP
INST-0027,Agjencia Kombetare te Ujesjelles-Kanalizimeve,,unknown - not seen in KPP
INST-0028,Agjencia Kombëtare e Falimentimit,,unknown - not seen in KPP
INST-0029,Agjencia Kombëtare e Pyjeve,,unknown - not seen in KPP
INST-0030,Agjencia Kombëtare e Rinisë,,unknown - not seen in KPP
INST-0031,Agjencia Rajonale e Ekstensionit Bujqesor Korçe,,unknown - not seen in KPP
INST-0032,Agjencia Rajonale e Ekstensionit Bujqesor Lushnje,,unknown - not seen in KPP
INST-0033,Agjencia Rajonale e Ekstensionit Bujqesor Shkoder,,unknown - not seen in KPP
INST-0034,"Agjencia Rajonale e Mjedisit Berat, Korçë, Elbasan",,unknown - not seen in KPP
INST-0035,Agjencia Rajonale e Mjedisit Fier/Vlore/Gjirokaster,,unknown - not seen in KPP
INST-0036,Agjencia Shqiptare e Zhvillimit te Investimeve,,unknown - not seen in KPP
INST-0037,Agjencia Shteterore per Mbrojtjen e te Drejtave te Femijeve,,unknown - not seen in KPP
INST-0038,Agjencia Shtetërore për Shpronësimin,,unknown - not seen in KPP
INST-0039,Agjencia Telegrafike Shqiptare,,unknown - not seen in KPP
INST-0040,Agjencia e Administrimit Tregjeve Tirane,L72320451N,kpp_appeal.ak_nipt (name-matched)
INST-0041,Agjencia e Administrimit te Pasurive te Sekuestruara dhe te Konfiskuara,,unknown - not seen in KPP
INST-0042,Agjencia e Auditimit te Programeve te Asistences Akredituar nga BE,,unknown - not seen in KPP
INST-0043,Agjencia e Funksioneve te Patransferueshme Mat,,unknown - not seen in KPP
INST-0044,Agjencia e Funksioneve te Transferueshme Bashkia Mat,,unknown - not seen in KPP
INST-0045,Agjencia e Funksioneve te Trasnferueshme Bulqizë,,unknown - not seen in KPP
INST-0046,Agjencia e Funksioneve te Trasnferueshme Klos,,unknown - not seen in KPP
INST-0047,Agjencia e Industrise Kreative Tirane,,unknown - not seen in KPP
INST-0048,Agjencia e Inovacionit dhe Ekselences,,unknown - not seen in KPP
INST-0049,Agjencia e Inteligjencës Financiare,K52113005M,kpp_appeal.ak_nipt (name-matched)
INST-0050,Agjencia e Mbikeqyerjes dhe Kontrollit,,unknown - not seen in KPP
INST-0051,Agjencia e Mbikqyrjes Policore,,unknown - not seen in KPP
INST-0052,Agjencia e Mbikëqyrjes në Sistemin e Ekzekutimit të Vendimeve Penale,,unknown - not seen in KPP
INST-0053,Agjencia e Mbrojtjes se Konsumatorit,L12413451W,kpp_appeal.ak_nipt (name-matched)
INST-0054,Agjencia e Menaxhimit te Burimeve Ujore,,unknown - not seen in KPP
INST-0055,Agjencia e Menaxhimit te Garancive dhe Kredive te Pakthyera,,unknown - not seen in KPP
INST-0056,Agjencia e Parqeve Urbane,,unknown - not seen in KPP
INST-0057,Agjencia e Parqeve dhe Rekreacionit,L52205451C,kpp_appeal.ak_nipt (name-matched)
INST-0058,Agjencia e Prokurimit Publik,,unknown - not seen in KPP
INST-0059,Agjencia e Puneve Publike dhe Mirembajtjes Mirdite,L69203071Q,kpp_appeal.ak_nipt (name-matched)
INST-0060,Agjencia e Rinise dhe Mirëqenies Sociale,,unknown - not seen in KPP
INST-0061,Agjencia e Sherbimeve Funerale,J61902001Q,kpp_appeal.ak_nipt (name-matched)
INST-0062,Agjencia e Sherbimeve Komunale Divjake,,unknown - not seen in KPP
INST-0063,Agjencia e Sherbimeve Publike Bashkia Maliq,,unknown - not seen in KPP
INST-0064,Agjencia e Sherbimeve Publike Rurale Elbasan,K52906201E,kpp_appeal.ak_nipt (name-matched)
INST-0065,Agjencia e Sherbimeve Publike Urbane,,unknown - not seen in KPP
INST-0066,Agjencia e Shërbimeve Publike Berat,,unknown - not seen in KPP
INST-0067,Agjencia e Shërbimeve Publike Patos,,unknown - not seen in KPP
INST-0068,Agjencia e Sigurimit te Cilesise ne Arsimin e Larte,,unknown - not seen in KPP
INST-0069,Agjencia e Sigurimit te Cilesise se Arsimit Parauniversitar,,unknown - not seen in KPP
INST-0070,Agjencia e Sigurimit te Depozitave,K31419037P,kpp_appeal.ak_nipt (name-matched)
INST-0071,Agjencia e Trajtimit te Koncensioneve,,unknown - not seen in KPP
INST-0072,Agjencia e Trajtimit te Pronave,,unknown - not seen in KPP
INST-0073,Agjencia e Zhvillimit te Territorit,,unknown - not seen in KPP
INST-0074,Agjencia per Dialog dhe Bashkeqeverisje,L52428453P,kpp_appeal.ak_nipt (name-matched)
INST-0075,Agjencia per Efiçencen e Energjise,,unknown - not seen in KPP
INST-0076,Agjencia per Mbeshtetjen e Veteqeverisjes Vendore,,unknown - not seen in KPP
INST-0077,Agjencia per Zhvillim Bujqesor dhe Rural,,unknown - not seen in KPP
INST-0078,Agjencia për Media dhe Informim,,unknown - not seen in KPP
INST-0079,Agjensia Rajonale e Ekstensionit Bujqesor Tirane,,unknown - not seen in KPP
INST-0080,Agjensia Sherbimit Sportit,,unknown - not seen in KPP
INST-0081,Agjensia e Funksioneve te Patrasnferueshme Belsh,,unknown - not seen in KPP
INST-0082,Agjensia e Mbrojtes se Territorit Pogradec,,unknown - not seen in KPP
INST-0083,Agrokredit.sha,,unknown - not seen in KPP
INST-0084,Akademia e Shkencave,K01428003E,kpp_appeal.ak_nipt (name-matched)
INST-0085,Akademia e Sigurise Tirane,,unknown - not seen in KPP
INST-0086,Albanian Digital Solution sh.a,,unknown - not seen in KPP
INST-0087,Albanian Gas Service Company Sh.a,L82407006D,kpp_appeal.ak_nipt (name-matched)
INST-0088,Albanian Seaports Development Company,M21929501T,kpp_appeal.ak_nipt (name-matched)
INST-0089,Albcontrol,,unknown - not seen in KPP
INST-0090,Albgaz sh.a,,unknown - not seen in KPP
INST-0091,Arkivi Qendror Teknik i Ndertimit Tirane,,unknown - not seen in KPP
INST-0092,Arkivi Shteteror i Filmit,,unknown - not seen in KPP
INST-0093,Autoriteti Kombetar i Ushqimit,L01519452O,kpp_appeal.ak_nipt (name-matched)
INST-0094,Autoriteti Kombetar per Sigurine Kibernetike,,unknown - not seen in KPP
INST-0095,Autoriteti Kombetar per Sigurine dhe Emergjencat ne Miniera,,unknown - not seen in KPP
INST-0096,Autoriteti Kombëtar i Investigimit për Sigurinë e Operimit në Aviacionin Civil,,unknown - not seen in KPP
INST-0097,Autoriteti Kombëtar i Veterinarisë dhe Mbrojtjes së Bimëve,,unknown - not seen in KPP
INST-0098,Autoriteti Portual Durres,J61811536L,kpp_appeal.ak_nipt (name-matched)
INST-0099,Autoriteti Rrugor Shqiptar,J61915011T,kpp_appeal.ak_nipt (name-matched)
INST-0100,Autoriteti Shteteror per Informacionin Gjeohapesinor,,unknown - not seen in KPP
INST-0101,Autoriteti i Aviacionit Civil,L01927451M,kpp_appeal.ak_nipt (name-matched)
INST-0102,Autoriteti i Komunikimeve Elektronike dhe Postare ( ish ERT ),,unknown - not seen in KPP
INST-0103,Autoriteti i Konkurences,K51802016O,kpp_appeal.ak_nipt (name-matched)
INST-0104,Autoriteti i Kontrollit Shteteror te Eksporteve,,unknown - not seen in KPP
INST-0105,Autoriteti i Mbikqyrjes Financiare,K51525009W,kpp_appeal.ak_nipt (name-matched)
INST-0106,Autoriteti i Mbikqyrjes se Lojrave te Fatit,,unknown - not seen in KPP
