kodi_institucioni,emertimi
INST-0001,AGJENCIA E INDUSTRISE SE MBROJTJES
INST-0002,AGJENCIA KOMBETARE E FINANCIMIT TE ARSIMIT TE LARTE
INST-0003,ALBAFILM
INST-0004,ALBANIAN STATE DEVELOPMENT & REAL ESTATE
INST-0005,ALBCONTROL SH.A ( ish A.N.T.A)
INST-0006,ALBTrace CO
INST-0007,Agjencia E Sigurimit të Cilësisë së Kujdesit Shëndetësor dhe Shoqëror
INST-0008,Agjencia Ekonomike Mbeshtetese
INST-0009,Agjencia Innovation4Albania
INST-0010,Agjencia Kombetare Berthamore
INST-0011,Agjencia Kombetare e Arsimit Parauniversitar
INST-0012,Agjencia Kombetare e Barnave dhe Paisjeve Mjekesore (AKBPM)
INST-0013,Agjencia Kombetare e Bregdetit
INST-0014,Agjencia Kombetare e Burimeve Natyrore
INST-0015,Agjencia Kombetare e Duhan - Cigareve
INST-0016,Agjencia Kombetare e Ekonomise Mbetjeve
INST-0017,Agjencia Kombetare e Kerkimit Shkencor dhe Inovacionit
INST-0018,Agjencia Kombetare e Kontrollit te Cannabis-it
INST-0019,Agjencia Kombetare e Mbrojtjes Civile
INST-0020,Agjencia Kombetare e Mjedisit
INST-0021,Agjencia Kombetare e Planifikimit te Territorit
INST-0022,Agjencia Kombetare e Punesimit dhe Aftesive Tirane
INST-0023,Agjencia Kombetare e Shoqerise se Informacionit
INST-0024,Agjencia Kombetare e Turizmit
INST-0025,Agjencia Kombetare e Zonave te Mbrojtura
INST-0026,Agjencia Kombetare per Diasporen
INST-0027,Agjencia Kombetare te Ujesjelles-Kanalizimeve
INST-0028,Agjencia Kombëtare e Falimentimit
INST-0029,Agjencia Kombëtare e Pyjeve
INST-0030,Agjencia Kombëtare e Rinisë
INST-0031,Agjencia Rajonale e Ekstensionit Bujqesor Korçe
INST-0032,Agjencia Rajonale e Ekstensionit Bujqesor Lushnje
INST-0033,Agjencia Rajonale e Ekstensionit Bujqesor Shkoder
INST-0034,"Agjencia Rajonale e Mjedisit Berat, Korçë, Elbasan"
INST-0035,Agjencia Rajonale e Mjedisit Fier/Vlore/Gjirokaster
INST-0036,Agjencia Shqiptare e Zhvillimit te Investimeve
INST-0037,Agjencia Shteterore per Mbrojtjen e te Drejtave te Femijeve
INST-0038,Agjencia Shtetërore për Shpronësimin
INST-0039,Agjencia Telegrafike Shqiptare
INST-0040,Agjencia e Administrimit Tregjeve Tirane
INST-0041,Agjencia e Administrimit te Pasurive te Sekuestruara dhe te Konfiskuara
INST-0042,Agjencia e Auditimit te Programeve te Asistences Akredituar nga BE
INST-0043,Agjencia e Funksioneve te Patransferueshme Mat
INST-0044,Agjencia e Funksioneve te Transferueshme Bashkia Mat
INST-0045,Agjencia e Funksioneve te Trasnferueshme Bulqizë
INST-0046,Agjencia e Funksioneve te Trasnferueshme Klos
INST-0047,Agjencia e Industrise Kreative Tirane
INST-0048,Agjencia e Inovacionit dhe Ekselences
INST-0049,Agjencia e Inteligjencës Financiare
INST-0050,Agjencia e Mbikeqyerjes dhe Kontrollit
INST-0051,Agjencia e Mbikqyrjes Policore
INST-0052,Agjencia e Mbikëqyrjes në Sistemin e Ekzekutimit të Vendimeve Penale
INST-0053,Agjencia e Mbrojtjes se Konsumatorit
INST-0054,Agjencia e Menaxhimit te Burimeve Ujore
INST-0055,Agjencia e Menaxhimit te Garancive dhe Kredive te Pakthyera
INST-0056,Agjencia e Parqeve Urbane
INST-0057,Agjencia e Parqeve dhe Rekreacionit
INST-0058,Agjencia e Prokurimit Publik
INST-0059,Agjencia e Puneve Publike dhe Mirembajtjes Mirdite
INST-0060,Agjencia e Rinise dhe Mirëqenies Sociale
INST-0061,Agjencia e Sherbimeve Funerale
INST-0062,Agjencia e Sherbimeve Komunale Divjake
INST-0063,Agjencia e Sherbimeve Publike Bashkia Maliq
INST-0064,Agjencia e Sherbimeve Publike Rurale Elbasan
INST-0065,Agjencia e Sherbimeve Publike Urbane
INST-0066,Agjencia e Shërbimeve Publike Berat
INST-0067,Agjencia e Shërbimeve Publike Patos
INST-0068,Agjencia e Sigurimit te Cilesise ne Arsimin e Larte
INST-0069,Agjencia e Sigurimit te Cilesise se Arsimit Parauniversitar
INST-0070,Agjencia e Sigurimit te Depozitave
INST-0071,Agjencia e Trajtimit te Koncensioneve
INST-0072,Agjencia e Trajtimit te Pronave
INST-0073,Agjencia e Zhvillimit te Territorit
INST-0074,Agjencia per Dialog dhe Bashkeqeverisje
INST-0075,Agjencia per Efiçencen e Energjise
INST-0076,Agjencia per Mbeshtetjen e Veteqeverisjes Vendore
INST-0077,Agjencia per Zhvillim Bujqesor dhe Rural
INST-0078,Agjencia për Media dhe Informim
INST-0079,Agjensia Rajonale e Ekstensionit Bujqesor Tirane
INST-0080,Agjensia Sherbimit Sportit
INST-0081,Agjensia e Funksioneve te Patrasnferueshme Belsh
