kodi_projekti,emertimi,kodi_institucioni,kodi_programi,viti_fiskal,kodi_llogarie_ekonomike,burimi_i_financimit
PRJ-000001,"Mbikqyrje e punimeve ne objektin: Sistemim, asfaltim i rrugeve ne Nj.Ad.Maminas dhe bashkine Shijak ( rruga Panorama, rruga Gani Keta, rruga Shoni)",INST-0168,,2026,230,Financim i huaj
PRJ-000002,"Loti nr.2: (“Mbikqyrja e punimeve për objektin, “Punime të ndryshme me  sinjalistikën rrugore, mirëmbajtje të sinjalistikës ekzistuese, rrugë në zonat urbane të territorit të Bashkisë Krujë”",INST-0142,,2026,230,Financim i huaj
PRJ-000003,Mbikqyrja e punimeve per objektet ndertimore te Bashkise Kruje (Faza e IV-te ),INST-0142,,2026,231,Financim i huaj
PRJ-000004,Loti nr.1 (Mbikqyrja e punimeve per objektin ‘’Mirembajtje e Shtratit te Lumit Zeze Fushe Kruje’’),INST-0142,,2026,230,Financim i huaj
PRJ-000005,"“Bileta udhëtimi me destinacion: Tiranë, Shqipëri – Varshavë, Poloni  – Tiranë, Shqipëri”",INST-0115,,2026,231,Të ardhura të trashiguara
PRJ-000006,Monitorimi i parametrave mjedisore dhe hartimi i raporteve mjedisore (per lendfillin),INST-0405,,2026,230,Të ardhura të trashiguara
PRJ-000007,“Botime dhe materiale shtypshkrime për Drejtorinë e Përgjithshme të Burgjeve”,INST-0621,,2026,230,Financim i huaj
PRJ-000008,Blerje materiale dekori për festa,INST-0575,,2026,231,Financim i huaj
PRJ-000009,Botime dhe publikime parlamentare,INST-0543,,2026,231,Financim i huaj
PRJ-000010,Mbikqyrje ne objektin: Riparim i digave ekzistuese te liqeneve akullnajore nr.1 dhe nr.2 Kusar dhe rikonstruksioni i kanalit te Malit Kusar-Fushe Studen-Letem (L=11 km per 900ha),INST-0148,,2026,231,Buxheti i Shtetit
PRJ-000011,"Loti 1 “Blerje tuba laboratorikë""",INST-0621,,2026,230,Financim i huaj
PRJ-000012,Blerje materiale konsumi e ndare ne dy lote,INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-000013,Loti 2 “Blerje kontenier për laboratorin”,INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-000014,"""Blerje asfalti""",INST-0164,,2026,230,Financim i huaj
PRJ-000015,"Blerje kancelari për nevojat e bashkisë Dibër,Këshillit Bashkiak dhe materiale didaktike për institucionet arsimore",INST-0122,,2026,231,Financim i huaj
PRJ-000016,Sistemim i pjesshem te kullimit te ujerave te bardha te qytetit Koplik dhe Bajze,INST-0150,,2026,231,Buxheti i Shtetit
PRJ-000017,Asfaltim i rrugëve në fshatin Rrushkull,INST-0126,,2026,231,Buxheti i Shtetit
PRJ-000018,Rikonstruksion i qendrës të moshuareve Krumë,INST-0133,,2026,231,Buxheti i Shtetit
PRJ-000019,Sistemim i sheshit para Bashkisë Dimal,INST-0123,,2026,231,Buxheti i Shtetit
PRJ-000020,“Shërbim mirëmbajtje ndërtimore për S.U.O.GJ Koço Gliozheni”,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-000021,"Rikonstruksion e pershtatje ambienti per ambulance e shkolle , Prrenjas Nj.A Tunjë.",INST-0132,,2026,231,Të ardhura të trashiguara
PRJ-000022,Sistemimi dhe zgjerimi i hapësirave të varrezave,INST-0575,,2026,231,Buxheti i Shtetit
PRJ-000023,"Loti 3 “Mbikëqyrje punimesh zbatimi në ndërtim 2026, për Drejtorinë Rajonale Berat të OSSH sh.a (shtesa)”",INST-0243,,2026,230,Të ardhura të trashiguara
PRJ-000024,"Loti 2 “Mbikëqyrje punimesh zbatimi në ndërtim 2026, për Drejtorinë Rajonale Fier të OSSH sh.a (shtesa)”",INST-0243,,2026,231,Buxheti i Shtetit
PRJ-000025,"“Mbikëqyrje punimesh për nevoja të OSSH sh.a. (2026), ndarë në 3 Lote”",INST-0243,,2026,230,Të ardhura të trashiguara
PRJ-000026,"Loti 1 “Mbikëqyrje punimesh zbatimi në ndërtim 2026, për Drejtorinë Rajonale Shkodër të OSSH sh.a (shtesa)”",INST-0243,,2026,231,Të ardhura të trashiguara
PRJ-000027,Blerje motorskafe për Drejtorinë e Përgjithshme Detare,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-000028,“Blerje bileta Udhetimi”.,INST-0146,,2026,230,Financim i huaj
PRJ-000029,Blerje Automjete Elektrike,INST-0053,,2026,230,Financim i huaj
PRJ-000030,Blerje bileta avioni me itenerar Tirane-Romë-Tirane,INST-1007,,2026,230,Të ardhura të trashiguara
PRJ-000031,Loti V: ‘‘Blerje bukë”,INST-0127,,2026,230,Buxheti i Shtetit
PRJ-000032,Loti IV: ‘‘Blerje produkte bulmeti”,INST-0127,,2026,231,Buxheti i Shtetit
PRJ-000033,Loti III: ‘‘Blerje mish viçi”,INST-0127,,2026,231,Të ardhura të trashiguara
PRJ-000034,Loti II: ‘‘Blerje fruta - perime”,INST-0127,,2026,231,Buxheti i Shtetit
PRJ-000035,"“Blerje produkte ushqimore, fruta-perime, mish viçi, produkte bulmeti dhe bukë për Drejtorine e Pergjithshme te Arsimit Parauniversitar, Bashkia Elbasan”, i ndarë në lote",INST-0127,,2026,230,Buxheti i Shtetit
PRJ-000036,Loti I: ‘‘Blerje produkte ushqimore”,INST-0127,,2026,230,Financim i huaj
PRJ-000037,Biletë transporti ajror Tiranë-Yerevan,INST-1011,,2026,231,Të ardhura të trashiguara
PRJ-000038,Terrene sportive (funizim/vendosje Bar Sintetik 5 cm për rehabilitimin e terrneve sportive),INST-0128,,2026,230,Të ardhura të trashiguara
PRJ-000039,Blerje e 2 biletave Tirane-Dortmund-Tirane,INST-0001,,2026,231,Të ardhura të trashiguara
PRJ-000040,"Rehabilitim I stacionit të MZSH-së, Korçë",INST-0141,,2026,230,Buxheti i Shtetit
PRJ-000041,"Rehabilitimi i diges Sharge, Bashkia Vore",INST-0176,,2026,231,Të ardhura të trashiguara
PRJ-000042,Blerje xhersa b/a me kangjella të xinguara,INST-0098,,2026,230,Buxheti i Shtetit
PRJ-000043,Blerje element festiv dekorativ te integruara ne strukturat ekzistuese,INST-0587,,2026,230,Financim i huaj
PRJ-000044,Rikonstruksion i rrugëve në Njesine Administrative  Ishëm,INST-0126,,2026,230,Buxheti i Shtetit
PRJ-000045,Blerje biletë udhëtimi me avion në itinerarin Tiranë – Paris – Tiranë,INST-0496,,2026,230,Të ardhura të trashiguara
PRJ-000046,Blerje 2 (dy) bileta udhëtimi vajtje-ardhje me destinacion: Tiranë - Torino - Tiranë,INST-0126,,2026,231,Buxheti i Shtetit
PRJ-000047,BILETA PËR UDHETIME JASHTË SHTETIT,INST-0023,,2026,230,Buxheti i Shtetit
PRJ-000048,Blerje biletë avioni Tiranë – Vilnius – Tiranë.,INST-0338,,2026,231,Të ardhura të trashiguara
PRJ-000049,Blerje bileta udhëtimi (klasi ekonomik) me itinerar Tiranë – Bruksel (Belgjikë) - Tiranë për 1 një) person,INST-0907,,2026,230,Të ardhura të trashiguara
PRJ-000050,Blerje bilete avioni New Jersey,INST-0902,,2026,231,Buxheti i Shtetit
PRJ-000051,Bileta te transportit ajror nderkombetar,INST-0101,,2026,230,Buxheti i Shtetit
PRJ-000052,Blerje biletë avioni për 7 (shtatë) persona,INST-0049,,2026,230,Financim i huaj
PRJ-000053,Blerje bletash Tirane-Krakov-Tirane,INST-0077,,2026,230,Të ardhura të trashiguara
PRJ-000054,"Blerje bilete udhëtimi me avion, Tiranë - Nice - Tirane",INST-0543,,2026,231,Buxheti i Shtetit
PRJ-000055,"Blerje bilete udhëtimi me avion, Tiranë - Dublin - Tirane",INST-0543,,2026,231,Të ardhura të trashiguara
PRJ-000056,"Blerje bilete udhëtimi me avion, Tiranë - Berlin - Tirane",INST-0543,,2026,230,Financim i huaj
PRJ-000057,PUNIME RIPARIMI DHE MIRËMBAJTJE ÇATISH,INST-0084,,2026,230,Financim i huaj
PRJ-000058,Sherbim mirembajtje mjete transporti,INST-0587,,2026,230,Buxheti i Shtetit
PRJ-000059,Biletë vajtje - ardhje Tirane – Gjeneve – Tirane per FIMIF ne kuader te projektit te AKKSHI me titull “Menaxhimi dhe Zhvillimi i Software dhe Firmware per iRPC per fazen e dyte te permiresimit te CMS”,INST-1012,,2026,231,Të ardhura të trashiguara
PRJ-000060,"“Blerje materiale për rikonstruksionin e Urës metalike në Lagjen e Re, pranë Gurit të Kishës Rubik, Bashkia Mirditë”.",INST-0155,,2026,230,Buxheti i Shtetit
PRJ-000061,"Mobilje zyre, për Ministrinë e Arsimit.",INST-0364,,2026,230,Të ardhura të trashiguara
PRJ-000062,Furnizim-vendosje e sistemit të sinjalizimit antizjarr në ambientet e godinës së Gjykatës Kushtetuese,INST-0432,,2026,230,Buxheti i Shtetit
PRJ-000063,Bileta të udhëtimit për Ministrinë e Mbrojtjes në qytetin e Triestes (Itali) dhe Lubjanës (Slloveni) në datat 21 Shtator – 22 Shtator 2026.,INST-0364,,2026,230,Buxheti i Shtetit
PRJ-000064,Blerje dru zjarri per ngrohje,INST-0174,,2026,230,Të ardhura të trashiguara
PRJ-000065,"Rindertimi i sheshit ""Rrapi"" ne rrugen ""Aleksander Moisiu",INST-0175,,2026,230,Financim i huaj
PRJ-000066,Ndertimi i ures me beton te Garoshit ne aksin Suhe-Poliçan:,INST-0147,,2026,231,Buxheti i Shtetit
PRJ-000067,“Sherbimi i Hartimit te planit per menaxhimin e transportit ne territorin e Bashkise Lezhe”.,INST-0146,,2026,231,Financim i huaj
PRJ-000068,Blerje lëndë e parë letër dhe karton,INST-0338,,2026,231,Buxheti i Shtetit
PRJ-000069,Hartimi i planit te mbareshtrimit te ekonomise pyjore Dropull i Siperm,INST-0125,,2026,231,Buxheti i Shtetit
PRJ-000070,Blerje bileta transporti ajror ndërkombëtar për itinerarin: “TIRANË (SHQIPËRI)-VILNIUS (LITUANI)-TIRANË (SHQIPËRI),INST-1014,,2026,230,Buxheti i Shtetit
PRJ-000071,Ndërtimi i KUZ Borsh,INST-0134,,2026,231,Të ardhura të trashiguara
PRJ-000072,"""Blerje çakull,stabilizante dhe rërë bituminoze""",INST-0164,,2026,230,Financim i huaj
PRJ-000073,"Bileta të udhëtimit për Ministrinë e Ekonomisë dhe Inovacionit, Drejtoria e Përgjithshme e Pronësisë Industriale në Pragë në datat 29 shtator – 01 tetor 2026.",INST-0364,,2026,231,Financim i huaj
PRJ-000074,"Blerje kosha mbetjesh për nevoja të Bashkisë Kolonjë, viti 2026",INST-0139,,2026,230,Buxheti i Shtetit
PRJ-000075,Riveshja e unazes se fshatit Muhurr,INST-0122,,2026,230,Financim i huaj
PRJ-000076,"Ndertim ure HF 16.4m, Fshati Zagrad, Nj.A Melan, Bashkia Diber",INST-0122,,2026,231,Buxheti i Shtetit
PRJ-000077,Lubrifikant,INST-0588,,2026,231,Buxheti i Shtetit
PRJ-000078,"RINDERTIMI I GODINES SE KOPSHTIT ""DONIKA KASTRIOTI"" NE QYTETIN E BERATIT”",INST-0117,,2026,230,Financim i huaj
PRJ-000079,Blerje Karburant (Diezel) viti 2026 për NSHP-në,INST-0152,,2026,231,Buxheti i Shtetit
PRJ-000080,Bileta të udhëtimit për Ministrinë e Ekonomisë dhe Inovacionit/Drejtoria e Përgjithshme e Pronësisë Industriale në Ljubjanë në datat 21 shtator – 23 shtator 2026.,INST-0364,,2026,231,Të ardhura të trashiguara
PRJ-000081,"“Ndërtim i urës Bardhaj, Njësia Administrative Lumas”",INST-0143,,2026,230,Buxheti i Shtetit
PRJ-000082,Bileta per nenpunesit e AKISA amsterdam,INST-0096,,2026,230,Financim i huaj
PRJ-000083,Bileta per nenpunesit e AKISA boston,INST-0096,,2026,231,Buxheti i Shtetit
