kodi_projekti,viti_fiskal,vlera_planifikuar_fillestare,vlera_miratuar_aktuale,perfshin_tvsh,vlera_disbursuar,data_miratimit_buxhetit,data_rishikimit_fundit
PRJ-000001,2026,1357665.84,1357665.84,True,,2026-07-23 10:00:00,
PRJ-000002,2026,191992.8,238118.87,True,,2026-07-05 08:00:00,2026-09-16 08:00:00
PRJ-000003,2026,301612.8,310707.75,True,,2026-07-19 08:00:00,2026-09-16 08:00:00
PRJ-000004,2026,109620.0,109620.0,True,,2026-07-25 08:00:00,
PRJ-000005,2026,,,,,,
PRJ-000006,2026,3600000.0,3600000.0,True,,2026-08-05 10:00:00,
PRJ-000007,2026,6584487.08,6584487.08,True,,2026-06-29 10:00:00,
PRJ-000008,2026,5999998.92,5999998.92,True,,2026-07-28 10:00:00,
PRJ-000009,2026,4192200.0,4346005.12,True,,2026-07-02 12:00:00,2026-09-16 12:00:00
PRJ-000010,2026,3239763.6,3239763.6,True,,2026-06-23 13:30:00,
PRJ-000011,2026,1705920.0,1705920.0,True,,2026-06-24 08:00:00,
PRJ-000012,2026,2641320.0,2382387.71,True,,2026-07-08 08:00:00,2026-09-16 08:00:00
PRJ-000013,2026,935400.0,935400.0,True,,2026-07-09 08:00:00,
PRJ-000014,2026,1500000.0,1500000.0,True,,2026-08-13 08:00:00,
PRJ-000015,2026,1499719.2,1499719.2,True,,2026-06-28 09:00:00,
PRJ-000016,2026,11651630.4,11651630.4,True,,2026-07-11 10:30:00,
PRJ-000017,2026,9999041.78,11646581.4,True,,2026-07-02 08:00:00,2026-09-16 08:00:00
PRJ-000018,2026,2179233.6,2179233.6,True,,2026-07-02 08:00:00,
PRJ-000019,2026,4300000.8,4804653.99,True,,2026-08-10 10:30:00,2026-09-16 10:30:00
PRJ-000020,2026,18286652.4,18286652.4,True,,2026-07-15 10:00:00,
PRJ-000021,2026,4938675.6,4938675.6,True,,2026-07-01 08:00:00,
PRJ-000022,2026,9994274.44,9994274.44,True,,2026-06-20 10:00:00,
PRJ-000023,2026,2331636.54,2331636.54,True,,2026-08-16 08:00:00,
PRJ-000024,2026,2666896.44,2666896.44,True,,2026-06-24 08:00:00,
PRJ-000025,2026,9790571.9,9790571.9,True,,2026-07-19 08:00:00,
PRJ-000026,2026,4792038.92,4792038.92,True,,2026-07-24 08:00:00,
PRJ-000027,2026,23155999.2,20516658.6,True,,2026-07-02 09:00:00,2026-09-16 09:00:00
