numri_angazhimit,numri_kerkeses_blerje,numri_kontrates,lloji_ub,blerësi,data_krijimit,statusi,kodi_projekti,kodi_llogarie_ekonomike,kodi_institucioni,nipt_perfituesit,vlera_angazhuar,statusi_aprovuar,periudha_muaji,periudha_viti,kodi_ministrie_linje,kodi_kapitulli,kodi_programi,kodi_entitet_qeverises,kodi_thesar_dege,kodi_tip_buxheti
ANG-0000001,INST-0991-2025-000001,KontratëNr-0000002,Standarte,Blerës 68,2025-05-07,Aprovuar,PRJ-006496,231,INST-0991,M12127026K,99820.0,Po,5,2025,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 3,,SHA,Durrës,Të ardhura të trashiguara
ANG-0000002,INST-0133-2025-000002,KontratëNr-0000003,e_Planifikuar,Blerës 121,2025-06-30,Aprovuar,PRJ-006500,230,INST-0133,L82007020D,41000.0,Po,6,2025,Ministria e Arsimit dhe Sportit,Kapitulli 7,,Vendore,Vlorë,Të ardhura të trashiguara
ANG-0000003,INST-0133-2025-000003,,Standarte,Blerës 194,2025-03-17,Aprovuar,PRJ-006495,230,INST-0133,L92713601Q,3695821.0,Po,3,2025,Ministria e Financave dhe Ekonomisë,Kapitulli 1,,Vendore,Durrës,Buxheti i Shtetit
ANG-0000004,INST-0134-2025-000004,KontratëNr-0000005,Standarte,Blerës 199,2025-10-01,Aprovuar,PRJ-006497,231,INST-0134,M11307042L,2198340.0,Po,10,2025,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 2,,SHA,Durrës,Financim i huaj
ANG-0000005,INST-0134-2025-000005,KontratëNr-0000006,Standarte,Blerës 88,2025-05-09,Aprovuar,PRJ-006498,231,INST-0134,J84003411K,6853910.5,Po,5,2025,Ministria e Financave dhe Ekonomisë,Kapitulli 6,,Vendore,Tiranë,Buxheti i Shtetit
ANG-0000006,INST-0134-2025-000006,KontratëNr-0000007,Standarte,Blerës 86,2025-10-16,Aprovuar,PRJ-006499,231,INST-0134,K51612031J,49950.0,Po,10,2025,Ministria e Brendshme,Kapitulli 3,,SHA,Shkodër,Financim i huaj
ANG-0000007,INST-0159-2025-000007,KontratëNr-0000008,Standarte,Blerës 118,2025-12-16,Aprovuar,PRJ-006485,231,INST-0159,K91530017T,93125.0,Po,12,2025,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 3,,SHA,Durrës,Të ardhura të trashiguara
ANG-0000008,INST-0164-2025-000008,KontratëNr-0000009,e_Planifikuar,Blerës 30,2025-12-18,Aprovuar,PRJ-006487,230,INST-0164,K22218003V,141000.0,Po,12,2025,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 3,,Vendore,Elbasan,Financim i huaj
ANG-0000009,INST-0568-2025-000009,KontratëNr-0000010,e_Planifikuar,Blerës 33,2025-12-24,Aprovuar,PRJ-006492,230,INST-0568,K41420001V,111250.0,Po,12,2025,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 3,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000010,INST-0541-2025-000010,KontratëNr-0000011,Standarte,Blerës 122,2025-12-29,Aprovuar,PRJ-006482,231,INST-0541,K91628001D,1492000.0,Po,12,2025,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 2,,Vendore,Elbasan,Financim i huaj
