id_dokumenti_financiar,statusi
DOC-0000001,regjistruar
DOC-0000002,regjistruar
DOC-0000003,regjistruar
DOC-0000004,regjistruar
DOC-0000005,regjistruar
DOC-0000006,regjistruar
DOC-0000007,regjistruar
DOC-0000008,regjistruar
DOC-0000009,regjistruar
DOC-0000010,regjistruar
DOC-0000011,regjistruar
DOC-0000012,regjistruar
DOC-0000013,regjistruar
DOC-0000014,regjistruar
DOC-0000015,regjistruar
DOC-0000016,regjistruar
DOC-0000017,regjistruar
DOC-0000018,regjistruar
DOC-0000019,regjistruar
DOC-0000020,regjistruar
DOC-0000021,regjistruar
DOC-0000022,regjistruar
DOC-0000023,regjistruar
DOC-0000024,regjistruar
DOC-0000025,regjistruar
DOC-0000026,regjistruar
DOC-0000027,regjistruar
DOC-0000028,regjistruar
DOC-0000029,regjistruar
DOC-0000030,regjistruar
DOC-0000031,regjistruar
DOC-0000032,regjistruar
DOC-0000033,regjistruar
DOC-0000034,regjistruar
DOC-0000035,regjistruar
DOC-0000036,regjistruar
DOC-0000037,regjistruar
DOC-0000038,regjistruar
DOC-0000039,regjistruar
DOC-0000040,regjistruar
DOC-0000041,regjistruar
DOC-0000042,regjistruar
DOC-0000043,regjistruar
DOC-0000044,regjistruar
DOC-0000045,regjistruar
DOC-0000046,regjistruar
DOC-0000047,regjistruar
DOC-0000048,regjistruar
DOC-0000049,regjistruar
DOC-0000050,regjistruar
DOC-0000051,regjistruar
DOC-0000052,regjistruar
DOC-0000053,regjistruar
DOC-0000054,regjistruar
DOC-0000055,regjistruar
DOC-0000056,regjistruar
DOC-0000057,regjistruar
DOC-0000058,regjistruar
DOC-0000059,regjistruar
DOC-0000060,regjistruar
DOC-0000061,regjistruar
DOC-0000062,regjistruar
DOC-0000063,regjistruar
DOC-0000064,regjistruar
DOC-0000065,regjistruar
DOC-0000066,regjistruar
DOC-0000067,regjistruar
DOC-0000068,regjistruar
DOC-0000069,regjistruar
DOC-0000070,regjistruar
DOC-0000071,regjistruar
DOC-0000072,regjistruar
DOC-0000073,regjistruar
DOC-0000074,regjistruar
DOC-0000075,regjistruar
DOC-0000076,regjistruar
DOC-0000077,regjistruar
DOC-0000078,regjistruar
DOC-0000079,regjistruar
DOC-0000080,regjistruar
DOC-0000081,regjistruar
DOC-0000082,regjistruar
DOC-0000083,regjistruar
DOC-0000084,regjistruar
DOC-0000085,regjistruar
DOC-0000086,regjistruar
DOC-0000087,regjistruar
DOC-0000088,regjistruar
DOC-0000089,regjistruar
DOC-0000090,regjistruar
DOC-0000091,regjistruar
DOC-0000092,regjistruar
DOC-0000093,regjistruar
DOC-0000094,regjistruar
DOC-0000095,regjistruar
DOC-0000096,regjistruar
DOC-0000097,regjistruar
DOC-0000098,regjistruar
DOC-0000099,regjistruar
DOC-0000100,regjistruar
DOC-0000101,regjistruar
DOC-0000102,regjistruar
DOC-0000103,regjistruar
DOC-0000104,regjistruar
DOC-0000105,regjistruar
DOC-0000106,regjistruar
DOC-0000107,regjistruar
DOC-0000108,regjistruar
DOC-0000109,regjistruar
DOC-0000110,regjistruar
DOC-0000111,regjistruar
DOC-0000112,regjistruar
DOC-0000113,regjistruar
DOC-0000114,regjistruar
DOC-0000115,regjistruar
DOC-0000116,regjistruar
DOC-0000117,regjistruar
DOC-0000118,regjistruar
DOC-0000119,regjistruar
DOC-0000120,regjistruar
DOC-0000121,regjistruar
DOC-0000122,regjistruar
DOC-0000123,regjistruar
DOC-0000124,regjistruar
DOC-0000125,regjistruar
DOC-0000126,regjistruar
DOC-0000127,regjistruar
DOC-0000128,regjistruar
DOC-0000129,regjistruar
DOC-0000130,regjistruar
DOC-0000131,regjistruar
DOC-0000132,regjistruar
DOC-0000133,regjistruar
DOC-0000134,regjistruar
DOC-0000135,regjistruar
DOC-0000136,regjistruar
DOC-0000137,regjistruar
DOC-0000138,regjistruar
DOC-0000139,regjistruar
DOC-0000140,regjistruar
DOC-0000141,regjistruar
DOC-0000142,regjistruar
DOC-0000143,regjistruar
DOC-0000144,regjistruar
DOC-0000145,regjistruar
DOC-0000146,regjistruar
DOC-0000147,regjistruar
DOC-0000148,regjistruar
DOC-0000149,regjistruar
DOC-0000150,regjistruar
DOC-0000151,regjistruar
DOC-0000152,regjistruar
DOC-0000153,regjistruar
DOC-0000154,regjistruar
DOC-0000155,regjistruar
DOC-0000156,regjistruar
DOC-0000157,regjistruar
DOC-0000158,regjistruar
DOC-0000159,regjistruar
DOC-0000160,regjistruar
DOC-0000161,regjistruar
DOC-0000162,regjistruar
DOC-0000163,regjistruar
DOC-0000164,regjistruar
DOC-0000165,regjistruar
DOC-0000166,regjistruar
DOC-0000167,regjistruar
DOC-0000168,regjistruar
DOC-0000169,regjistruar
DOC-0000170,regjistruar
DOC-0000171,regjistruar
DOC-0000172,regjistruar
DOC-0000173,regjistruar
DOC-0000174,regjistruar
DOC-0000175,regjistruar
DOC-0000176,regjistruar
DOC-0000177,regjistruar
DOC-0000178,regjistruar
DOC-0000179,regjistruar
DOC-0000180,regjistruar
DOC-0000181,regjistruar
DOC-0000182,regjistruar
DOC-0000183,regjistruar
DOC-0000184,regjistruar
DOC-0000185,regjistruar
DOC-0000186,regjistruar
DOC-0000187,regjistruar
DOC-0000188,regjistruar
DOC-0000189,regjistruar
DOC-0000190,regjistruar
DOC-0000191,regjistruar
DOC-0000192,regjistruar
DOC-0000193,regjistruar
DOC-0000194,regjistruar
DOC-0000195,regjistruar
DOC-0000196,regjistruar
DOC-0000197,regjistruar
DOC-0000198,regjistruar
DOC-0000199,regjistruar
DOC-0000200,regjistruar
DOC-0000201,regjistruar
DOC-0000202,regjistruar
DOC-0000203,regjistruar
DOC-0000204,regjistruar
DOC-0000205,regjistruar
DOC-0000206,regjistruar
DOC-0000207,regjistruar
DOC-0000208,regjistruar
DOC-0000209,regjistruar
DOC-0000210,regjistruar
DOC-0000211,regjistruar
DOC-0000212,regjistruar
DOC-0000213,regjistruar
DOC-0000214,regjistruar
DOC-0000215,regjistruar
DOC-0000216,regjistruar
DOC-0000217,regjistruar
DOC-0000218,regjistruar
DOC-0000219,regjistruar
DOC-0000220,regjistruar
DOC-0000221,regjistruar
DOC-0000222,regjistruar
DOC-0000223,regjistruar
DOC-0000224,regjistruar
DOC-0000225,regjistruar
DOC-0000226,regjistruar
DOC-0000227,regjistruar
DOC-0000228,regjistruar
DOC-0000229,regjistruar
DOC-0000230,regjistruar
DOC-0000231,regjistruar
DOC-0000232,regjistruar
DOC-0000233,regjistruar
DOC-0000234,regjistruar
DOC-0000235,regjistruar
DOC-0000236,regjistruar
DOC-0000237,regjistruar
DOC-0000238,regjistruar
DOC-0000239,regjistruar
DOC-0000240,regjistruar
DOC-0000241,regjistruar
DOC-0000242,regjistruar
DOC-0000243,regjistruar
DOC-0000244,regjistruar
DOC-0000245,regjistruar
DOC-0000246,regjistruar
DOC-0000247,regjistruar
DOC-0000248,regjistruar
DOC-0000249,regjistruar
DOC-0000250,regjistruar
DOC-0000251,regjistruar
DOC-0000252,regjistruar
DOC-0000253,regjistruar
DOC-0000254,regjistruar
DOC-0000255,regjistruar
DOC-0000256,regjistruar
DOC-0000257,regjistruar
DOC-0000258,regjistruar
DOC-0000259,regjistruar
DOC-0000260,regjistruar
DOC-0000261,regjistruar
DOC-0000262,regjistruar
DOC-0000263,regjistruar
DOC-0000264,regjistruar
DOC-0000265,regjistruar
DOC-0000266,regjistruar
DOC-0000267,regjistruar
DOC-0000268,regjistruar
DOC-0000269,regjistruar
DOC-0000270,regjistruar
DOC-0000271,regjistruar
DOC-0000272,regjistruar
DOC-0000273,regjistruar
DOC-0000274,regjistruar
DOC-0000275,regjistruar
DOC-0000276,regjistruar
DOC-0000277,regjistruar
DOC-0000278,regjistruar
DOC-0000279,regjistruar
DOC-0000280,regjistruar
DOC-0000281,regjistruar
DOC-0000282,regjistruar
DOC-0000283,regjistruar
DOC-0000284,regjistruar
DOC-0000285,regjistruar
DOC-0000286,regjistruar
DOC-0000287,regjistruar
DOC-0000288,regjistruar
DOC-0000289,regjistruar
DOC-0000290,regjistruar
DOC-0000291,regjistruar
DOC-0000292,regjistruar
DOC-0000293,regjistruar
DOC-0000294,regjistruar
DOC-0000295,regjistruar
DOC-0000296,regjistruar
DOC-0000297,regjistruar
DOC-0000298,regjistruar
DOC-0000299,regjistruar
DOC-0000300,regjistruar
DOC-0000301,regjistruar
DOC-0000302,regjistruar
DOC-0000303,regjistruar
DOC-0000304,regjistruar
DOC-0000305,regjistruar
DOC-0000306,regjistruar
DOC-0000307,regjistruar
DOC-0000308,regjistruar
DOC-0000309,regjistruar
DOC-0000310,regjistruar
DOC-0000311,regjistruar
DOC-0000312,regjistruar
DOC-0000313,regjistruar
DOC-0000314,regjistruar
DOC-0000315,regjistruar
DOC-0000316,regjistruar
DOC-0000317,regjistruar
DOC-0000318,regjistruar
DOC-0000319,regjistruar
DOC-0000320,regjistruar
DOC-0000321,regjistruar
DOC-0000322,regjistruar
DOC-0000323,regjistruar
DOC-0000324,regjistruar
DOC-0000325,regjistruar
DOC-0000326,regjistruar
DOC-0000327,regjistruar
DOC-0000328,regjistruar
DOC-0000329,regjistruar
DOC-0000330,regjistruar
DOC-0000331,regjistruar
DOC-0000332,regjistruar
DOC-0000333,regjistruar
DOC-0000334,regjistruar
DOC-0000335,regjistruar
DOC-0000336,regjistruar
DOC-0000337,regjistruar
DOC-0000338,regjistruar
DOC-0000339,regjistruar
DOC-0000340,regjistruar
DOC-0000341,regjistruar
DOC-0000342,regjistruar
DOC-0000343,regjistruar
DOC-0000344,regjistruar
DOC-0000345,regjistruar
DOC-0000346,regjistruar
DOC-0000347,regjistruar
