numri_fatures,numri_angazhimit,nivf_nslf,data_fatures,data_mberritjes_regjistrimit,vlera_fatures,statusi,data_ndryshimit_statusit,arsyeja_refuzimit,furnitor_nipt,kodi_lloj_fature
FAT-0000001,ANG-0000001,NIVF-7829468336,2025-05-21,2025-05-25,99820.0,pranuar,2025-05-28,,M12127026K,sherbim
FAT-0000002,ANG-0000002,NIVF-9102128385,2025-07-06,2025-07-09,6611.18,pranuar,2025-07-13,,L82007020D,mall
FAT-0000003,ANG-0000002,NIVF-4604926407,2025-07-31,2025-08-01,27903.88,refuzuar,2025-08-06,Fiskalizim i pavlefshëm,L82007020D,mall
FAT-0000004,ANG-0000002,NIVF-8971190715,2025-09-22,2025-09-22,6484.95,pranuar,2025-09-28,,L82007020D,mall
FAT-0000005,ANG-0000003,NIVF-8893964120,2025-03-30,2025-04-01,3695821.0,pranuar,2025-04-03,,L92713601Q,pune
FAT-0000006,ANG-0000004,NIVF-8502863185,2025-10-16,2025-10-16,2198340.0,pranuar,2025-10-21,,M11307042L,mall
FAT-0000007,ANG-0000005,NIVF-4912787654,2025-05-17,2025-05-20,6853910.5,pranuar,2025-05-24,,J84003411K,mall
FAT-0000008,ANG-0000006,NIVF-2712061760,2025-10-30,2025-11-03,49950.0,pranuar,2025-11-12,,K51612031J,mall
FAT-0000009,ANG-0000007,NIVF-2158015011,2025-12-22,2025-12-26,65078.17,pranuar,2025-12-27,,K91530017T,sherbim
FAT-0000010,ANG-0000007,NIVF-4156177200,2026-02-03,2026-02-06,28046.83,pranuar,2026-02-14,,K91530017T,sherbim
FAT-0000011,ANG-0000008,NIVF-2860474491,2025-12-26,2025-12-29,114710.24,pranuar,2025-12-31,,K22218003V,sherbim
FAT-0000012,ANG-0000008,NIVF-4079829867,2026-01-26,2026-01-28,24819.98,pranuar,2026-01-30,,K22218003V,sherbim
FAT-0000013,ANG-0000008,NIVF-3043884908,2026-02-28,2026-03-02,1469.78,pranuar,2026-03-06,,K22218003V,sherbim
FAT-0000014,ANG-0000009,NIVF-4649124872,2025-12-29,2026-01-02,76855.2,pranuar,2026-01-11,,K41420001V,mall
FAT-0000015,ANG-0000009,NIVF-7778885964,2026-02-01,2026-02-03,34394.8,pranuar,2026-02-04,,K41420001V,mall
FAT-0000016,ANG-0000010,NIVF-2482195864,2026-01-13,2026-01-17,698882.05,pranuar,2026-01-24,,K91628001D,pune
FAT-0000017,ANG-0000010,NIVF-4697904134,2026-02-26,2026-03-02,594587.32,pranuar,2026-03-04,,K91628001D,pune
FAT-0000018,ANG-0000010,NIVF-7935949872,2026-03-31,2026-04-03,198530.63,pranuar,2026-04-08,,K91628001D,pune
FAT-0000019,ANG-0000011,NIVF-7023724068,2026-01-12,2026-01-15,241101.18,pranuar,2026-01-19,,J61813529P,mall
FAT-0000020,ANG-0000011,NIVF-2118400341,2026-02-10,2026-02-11,4507503.6,pranuar,2026-02-19,,J61813529P,mall
FAT-0000021,ANG-0000011,NIVF-2127929268,2026-03-05,2026-03-06,3730547.22,pranuar,2026-03-15,,J61813529P,mall
FAT-0000022,ANG-0000012,NIVF-6760418987,2025-03-29,2025-03-30,13122430.23,pranuar,2025-04-02,,J62903182B,mall
FAT-0000023,ANG-0000012,NIVF-5338926440,2025-05-04,2025-05-08,6944778.5,refuzuar,2025-05-12,Fiskalizim i pavlefshëm,J62903182B,mall
FAT-0000024,ANG-0000012,NIVF-1544006595,2025-06-03,2025-06-04,10168176.28,pranuar,2025-06-11,,J62903182B,mall
FAT-0000025,ANG-0000013,NIVF-3797606072,2025-10-05,2025-10-08,1952872.55,pranuar,2025-10-10,,K17710805A,pune
FAT-0000026,ANG-0000013,NIVF-4226257379,2025-11-19,2025-11-19,3434398.85,pranuar,2025-11-26,,K17710805A,pune
FAT-0000027,ANG-0000013,NIVF-3937239692,2026-01-01,2026-01-04,10592406.1,pranuar,2026-01-06,,K17710805A,pune
FAT-0000028,ANG-0000014,NIVF-7095763219,2026-01-15,2026-01-17,130414.75,pranuar,2026-01-18,,J61814094W,mall
FAT-0000029,ANG-0000014,NIVF-4866065987,2026-02-21,2026-02-24,2104343.25,pranuar,2026-02-27,,J61814094W,mall
FAT-0000030,ANG-0000015,NIVF-1236372217,2026-01-11,2026-01-13,81239.14,pranuar,2026-01-21,,K21711502V,mall
FAT-0000031,ANG-0000015,NIVF-4439645840,2026-02-12,2026-02-13,1842423.92,pranuar,2026-02-21,,K21711502V,mall
FAT-0000032,ANG-0000016,NIVF-4380980114,2026-01-17,2026-01-17,238390.0,pranuar,2026-01-24,,J76705049N,mall
FAT-0000033,ANG-0000017,NIVF-4764122097,2026-01-14,2026-01-15,860433.59,pranuar,2026-01-18,,L01325010Q,pune
FAT-0000034,ANG-0000017,NIVF-3770865278,2026-02-09,2026-02-11,958566.41,pranuar,2026-02-13,,L01325010Q,pune
FAT-0000035,ANG-0000018,NIVF-1377433349,2026-01-18,2026-01-19,0.0,pranuar,2026-01-27,,K31420012M,mall
FAT-0000036,ANG-0000018,NIVF-8138476642,2026-03-09,2026-03-11,0.0,pranuar,2026-03-13,,K31420012M,mall
FAT-0000037,ANG-0000018,NIVF-8721848918,2026-04-20,2026-04-21,0.0,pranuar,2026-04-26,,K31420012M,mall
FAT-0000038,ANG-0000019,NIVF-9932529393,2025-10-08,2025-10-11,36040376.0,pranuar,2025-10-19,,K21518003F,sherbim
FAT-0000039,ANG-0000020,NIVF-8243795380,2026-01-14,2026-01-16,225724.31,pranuar,2026-01-22,,J77119021M,pune
FAT-0000040,ANG-0000020,NIVF-9601484134,2026-02-18,2026-02-18,290159.11,pranuar,2026-02-22,,J77119021M,pune
FAT-0000041,ANG-0000020,NIVF-2510523433,2026-03-26,2026-03-26,443207.78,pranuar,2026-04-03,,J77119021M,pune
FAT-0000042,ANG-0000021,NIVF-3281267145,2026-01-19,2026-01-23,0.0,pranuar,2026-01-26,,K71903025A,mall
FAT-0000043,ANG-0000021,NIVF-3441939216,2026-03-01,2026-03-04,0.0,pranuar,2026-03-09,,K71903025A,mall
FAT-0000044,ANG-0000021,NIVF-2299394394,2026-03-24,2026-03-28,0.0,pranuar,2026-04-04,,K71903025A,mall
FAT-0000045,ANG-0000022,NIVF-7992089398,2026-01-11,2026-01-11,5222.93,pranuar,2026-01-15,,K64108001G,sherbim
FAT-0000046,ANG-0000022,NIVF-4077109897,2026-02-15,2026-02-17,28061.33,pranuar,2026-02-21,,K64108001G,sherbim
FAT-0000047,ANG-0000022,NIVF-9141994863,2026-03-08,2026-03-10,2761715.74,pranuar,2026-03-13,,K64108001G,sherbim
FAT-0000048,ANG-0000023,NIVF-2117933974,2026-01-15,2026-01-19,197.37,pranuar,2026-01-26,,K11715005L,sherbim
FAT-0000049,ANG-0000023,NIVF-4229805403,2026-02-08,2026-02-11,99802.63,pranuar,2026-02-19,,K11715005L,sherbim
FAT-0000050,ANG-0000024,NIVF-7148813734,2026-01-07,2026-01-09,40505.06,pranuar,2026-01-10,,L42018012R,mall
FAT-0000051,ANG-0000024,NIVF-9712684505,2026-02-01,2026-02-03,27834.94,pranuar,2026-02-12,,L42018012R,mall
FAT-0000052,ANG-0000025,NIVF-6066705761,2026-01-07,2026-01-08,5833.0,pranuar,2026-01-11,,K61628006R,mall
FAT-0000053,ANG-0000026,NIVF-4871996077,2026-01-16,2026-01-17,4943.73,pranuar,2026-01-24,,M31520504K,pune
FAT-0000054,ANG-0000026,NIVF-1333731748,2026-02-06,2026-02-06,19064.48,refuzuar,2026-02-10,Mungesë dokumentacioni mbështetës,M31520504K,pune
FAT-0000055,ANG-0000026,NIVF-4046901020,2026-03-27,2026-03-27,75991.79,refuzuar,2026-04-02,Fiskalizim i pavlefshëm,M31520504K,pune
FAT-0000056,ANG-0000027,NIVF-6311956023,2026-01-10,2026-01-12,33621.44,pranuar,2026-01-21,,K62315503U,mall
FAT-0000057,ANG-0000027,NIVF-8836138488,2026-02-15,2026-02-18,5134.82,pranuar,2026-02-25,,K62315503U,mall
FAT-0000058,ANG-0000027,NIVF-8417319964,2026-03-25,2026-03-29,36243.75,pranuar,2026-04-07,,K62315503U,mall
FAT-0000059,ANG-0000028,NIVF-5739653407,2026-01-18,2026-01-18,100000.0,pranuar,2026-01-25,,K31422029Q,sherbim
FAT-0000060,ANG-0000029,NIVF-5331150726,2026-01-23,2026-01-23,100000.0,pranuar,2026-01-28,,K31422029Q,sherbim
FAT-0000061,ANG-0000030,NIVF-1747986509,2026-01-24,2026-01-26,55862.64,pranuar,2026-01-30,,K62315503U,pune
FAT-0000062,ANG-0000030,NIVF-5351280726,2026-03-06,2026-03-09,19137.36,pranuar,2026-03-18,,K62315503U,pune
FAT-0000063,ANG-0000031,NIVF-3020408853,2026-01-13,2026-01-16,74410.0,pranuar,2026-01-22,,K29824103U,pune
FAT-0000064,ANG-0000032,NIVF-6817871716,2026-01-18,2026-01-22,83333.0,pranuar,2026-01-23,,M31520504K,mall
FAT-0000065,ANG-0000033,NIVF-5991656970,2026-01-10,2026-01-13,29585.35,pranuar,2026-01-20,,L28029301Q,sherbim
FAT-0000066,ANG-0000033,NIVF-5070910656,2026-02-20,2026-02-20,20068.58,refuzuar,2026-03-01,Gabim në shumën e faturuar,L28029301Q,sherbim
FAT-0000067,ANG-0000033,NIVF-6912705527,2026-03-14,2026-03-14,50346.07,pranuar,2026-03-16,,L28029301Q,sherbim
FAT-0000068,ANG-0000034,NIVF-3296693940,2026-01-16,2026-01-19,18997.91,pranuar,2026-01-24,,K62315503U,mall
FAT-0000069,ANG-0000034,NIVF-8755321293,2026-02-06,2026-02-10,56002.09,pranuar,2026-02-11,,K62315503U,mall
FAT-0000070,ANG-0000035,NIVF-8154521361,2026-01-10,2026-01-14,3841.42,pranuar,2026-01-18,,K62315503U,sherbim
FAT-0000071,ANG-0000035,NIVF-6671580979,2026-03-09,2026-03-11,95158.58,pranuar,2026-03-15,,K62315503U,sherbim
FAT-0000072,ANG-0000036,NIVF-9020375904,2026-01-11,2026-01-14,26266.78,pranuar,2026-01-15,,L77406402A,pune
FAT-0000073,ANG-0000036,NIVF-5913408267,2026-02-07,2026-02-07,20881.94,pranuar,2026-02-11,,L77406402A,pune
FAT-0000074,ANG-0000036,NIVF-8264695096,2026-03-29,2026-04-02,50771.29,pranuar,2026-04-04,,L77406402A,pune
FAT-0000075,ANG-0000037,NIVF-8892932786,2026-01-24,2026-01-25,82879.91,pranuar,2026-01-29,,M22314001N,pune
FAT-0000076,ANG-0000037,NIVF-2359190923,2026-03-07,2026-03-07,6981.63,pranuar,2026-03-16,,M22314001N,pune
FAT-0000077,ANG-0000037,NIVF-1182358037,2026-04-14,2026-04-14,10138.46,refuzuar,2026-04-20,Gabim në shumën e faturuar,M22314001N,pune
FAT-0000078,ANG-0000038,NIVF-2797464353,2026-01-16,2026-01-16,8271.81,pranuar,2026-01-21,,M31520504K,mall
FAT-0000079,ANG-0000038,NIVF-4532216455,2026-03-16,2026-03-18,18167.58,pranuar,2026-03-24,,M31520504K,mall
FAT-0000080,ANG-0000038,NIVF-7618348743,2026-04-20,2026-04-21,56893.61,pranuar,2026-04-28,,M31520504K,mall
FAT-0000081,ANG-0000039,NIVF-8696949814,2026-01-18,2026-01-18,7340.0,pranuar,2026-01-21,,J71601012S,mall
FAT-0000082,ANG-0000040,NIVF-2546684064,2026-01-13,2026-01-14,1274.33,pranuar,2026-01-17,,J64103483H,mall
FAT-0000083,ANG-0000040,NIVF-7558228738,2026-02-24,2026-02-28,12569.85,pranuar,2026-03-01,,J64103483H,mall
FAT-0000084,ANG-0000040,NIVF-2314777244,2026-03-24,2026-03-25,2155.81,pranuar,2026-04-01,,J64103483H,mall
FAT-0000085,ANG-0000041,NIVF-7693691713,2026-01-24,2026-01-25,56.73,pranuar,2026-02-03,,L28029301Q,mall
FAT-0000086,ANG-0000041,NIVF-1349595310,2026-02-20,2026-02-22,26.38,pranuar,2026-03-01,,L28029301Q,mall
FAT-0000087,ANG-0000041,NIVF-2956551239,2026-04-08,2026-04-11,16.89,pranuar,2026-04-12,,L28029301Q,mall
FAT-0000088,ANG-0000042,NIVF-8377502312,2026-01-17,2026-01-18,13032.84,refuzuar,2026-01-26,Fiskalizim i pavlefshëm,K62315503U,mall
FAT-0000089,ANG-0000042,NIVF-7251285632,2026-02-16,2026-02-17,38813.52,pranuar,2026-02-20,,K62315503U,mall
FAT-0000090,ANG-0000042,NIVF-3765511615,2026-04-07,2026-04-09,23153.64,pranuar,2026-04-12,,K62315503U,mall
