numri_urdherit_shpenzimit,numri_fatures,data_urdherit_shpenzimit,data_ekzekutimit_pageses,vlera_paguar_faktikisht,afati_aplikueshem_dite
URDH-0000001,FAT-0000001,2025-06-03,2025-06-05,99820.0,30
URDH-0000002,FAT-0000002,2025-07-20,2025-07-20,6611.18,30
URDH-0000003,FAT-0000004,2025-10-05,2025-10-05,6484.95,30
URDH-0000004,FAT-0000005,2025-04-06,2025-04-10,3695821.0,30
URDH-0000005,FAT-0000006,2025-10-28,2025-10-31,2198340.0,30
URDH-0000006,FAT-0000007,2025-05-31,2025-05-31,6853910.5,30
URDH-0000007,FAT-0000008,2025-11-14,2025-11-14,49950.0,30
URDH-0000008,FAT-0000009,2025-12-31,2025-12-31,65078.17,30
URDH-0000009,FAT-0000010,2026-02-17,2026-02-17,28046.83,30
URDH-0000010,FAT-0000011,2026-01-04,2026-01-18,114710.24,30
URDH-0000011,FAT-0000012,2026-02-03,2026-02-07,24819.98,30
URDH-0000012,FAT-0000013,2026-03-13,2026-03-13,1469.78,30
URDH-0000013,FAT-0000014,2026-01-14,2026-01-16,76855.2,30
URDH-0000014,FAT-0000015,2026-02-07,2026-02-07,34394.8,30
URDH-0000015,FAT-0000016,2026-01-27,2026-01-27,698882.05,30
URDH-0000016,FAT-0000017,2026-03-08,2026-03-08,594587.32,30
URDH-0000017,FAT-0000018,2026-04-10,2026-04-17,198530.63,30
URDH-0000018,FAT-0000019,2026-01-23,2026-02-05,241101.18,30
URDH-0000019,FAT-0000020,2026-02-21,2026-02-21,4507503.6,30
URDH-0000020,FAT-0000021,2026-03-20,2026-03-23,3730547.22,30
URDH-0000021,FAT-0000022,2025-04-07,2025-04-27,13122430.23,30
URDH-0000022,FAT-0000024,2025-06-17,2025-06-25,10168176.28,30
URDH-0000023,FAT-0000025,2025-10-12,2025-10-14,1952872.55,30
URDH-0000024,FAT-0000026,2025-12-03,2025-12-03,3434398.85,30
URDH-0000025,FAT-0000027,2026-01-10,2026-01-23,10592406.1,30
URDH-0000026,FAT-0000028,2026-01-19,2026-01-19,130414.75,30
URDH-0000027,FAT-0000029,2026-03-03,2026-03-08,2104343.25,30
URDH-0000028,FAT-0000030,2026-01-22,2026-01-22,81239.14,30
URDH-0000029,FAT-0000031,2026-02-25,2026-02-25,1842423.92,30
URDH-0000030,FAT-0000032,2026-01-25,2026-02-08,238390.0,30
URDH-0000031,FAT-0000033,2026-01-25,2026-02-17,860433.59,30
URDH-0000032,FAT-0000034,2026-02-15,2026-04-17,958566.41,30
URDH-0000033,FAT-0000035,2026-02-01,2026-02-07,0.0,30
URDH-0000034,FAT-0000036,2026-03-20,2026-03-20,0.0,30
URDH-0000035,FAT-0000037,2026-04-28,2026-05-02,0.0,30
URDH-0000036,FAT-0000038,2025-10-25,2025-11-22,36040376.0,30
URDH-0000037,FAT-0000039,2026-01-25,2026-01-26,225724.31,30
URDH-0000038,FAT-0000040,2026-02-25,2026-03-12,290159.11,30
URDH-0000039,FAT-0000041,2026-04-06,2026-04-17,443207.78,30
URDH-0000040,FAT-0000042,2026-02-02,2026-02-02,0.0,30
URDH-0000041,FAT-0000043,2026-03-16,2026-03-16,0.0,30
URDH-0000042,FAT-0000044,2026-04-07,2026-06-06,0.0,30
URDH-0000043,FAT-0000045,2026-01-22,2026-01-22,5222.93,30
URDH-0000044,FAT-0000046,2026-02-23,2026-02-24,28061.33,30
URDH-0000045,FAT-0000047,2026-03-16,2026-03-20,2761715.74,30
URDH-0000046,FAT-0000048,2026-01-27,2026-02-09,197.37,30
URDH-0000047,FAT-0000049,2026-02-22,2026-03-07,99802.63,30
URDH-0000048,FAT-0000050,2026-01-17,2026-02-02,40505.06,30
URDH-0000049,FAT-0000051,2026-02-14,2026-02-14,27834.94,30
URDH-0000050,FAT-0000052,2026-01-13,2026-01-16,5833.0,30
URDH-0000051,FAT-0000053,2026-01-28,2026-02-02,4943.73,30
URDH-0000052,FAT-0000056,2026-01-22,2026-03-24,33621.44,30
URDH-0000053,FAT-0000057,2026-03-04,2026-03-15,5134.82,30
URDH-0000054,FAT-0000058,2026-04-14,2026-04-14,36243.75,30
URDH-0000055,FAT-0000059,2026-01-28,2026-02-09,100000.0,30
URDH-0000056,FAT-0000060,2026-02-03,2026-02-12,100000.0,30
URDH-0000057,FAT-0000061,2026-01-31,2026-01-31,55862.64,30
URDH-0000058,FAT-0000062,2026-03-19,2026-04-03,19137.36,30
URDH-0000059,FAT-0000063,2026-01-28,2026-01-28,74410.0,30
URDH-0000060,FAT-0000064,2026-01-24,2026-02-10,83333.0,30
URDH-0000061,FAT-0000065,2026-01-22,2026-02-08,29585.35,30
URDH-0000062,FAT-0000067,2026-03-21,2026-03-26,50346.07,30
URDH-0000063,FAT-0000068,2026-01-25,2026-02-26,18997.91,30
URDH-0000064,FAT-0000069,2026-02-13,2026-02-14,56002.09,30
